id,texto,RT_Count,Favorite_Count
45,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
46,"b'Si Bogota comete el gravisimo error de elegir a Claudia Lopez alcaldesa; la inmoralidad, la incoherencia, la decadencia familiar y el desorden estaran a la orden cada dia. Seria vergonzoso. Quienes creemos en Dios tenemos que orar para que esta senora no gane. \n@MiguelUribeT'",27,0
47,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
48,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
49,b'Me encanta la familia de @MiguelUribeT  https://t.co/lbREunYM6t',62,0
50,"b'@pilar_rod @MiguelUribeT Hum y si hubieran conocido al corrupto y bruto del bisabuelo. \nPara apoyar a un Turbay, se debe tener un interes personal o hay ausencia de neuronas.'",0,0
51,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
52,"b'Me encanta como le estamos dando una ""patada en el culo"" a Uribe y a todos sus lavaperros como @MiguelUribeT en Bogota y sus alrededores'",6,0
53,"b'@JUSECALO @MiguelUribeT Necesitamos mas actores de esta talente, mis respetos y admiracion.'",0,0
54,b'?Para usted quien debe ser el proximo alcalde de @Bogota? #DebatesCristovision @MiguelUribeT @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS',464,0
55,"b'#Medellin como inspiras, que ejemplo das y como demuestras que si es posible! \nOjala mi #Bogota del alma siga sus pasos y elija a @MiguelUribeT para poder seguir avanzando !!\n#Avancemos'",196,0
56,"b'En campana @MiguelUribeT promete tarifa diferencial para los estudiantes, pero en cuatro anos de gobierno no hicieron nada para implementar el acuerdo que ya existe. \n#Carreta #Despertemos https://t.co/gJP96caPcN'",338,0
57,b'?Para usted quien debe ser el proximo alcalde de @Bogota? #DebatesCristovision @MiguelUribeT @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS',464,0
58,b'?Para usted quien debe ser el proximo alcalde de @Bogota? #DebatesCristovision @MiguelUribeT @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS',464,0
59,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
60,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
61,b'@Harvysin @GNavasTalero @TransMilenio @ingeniero0013 @CarlosCarrilloA @Cloquis @CathyJuvinao @petrogustavo @JackDeLaConcha @mjsarmientoa Senores @ClaudiaLopez @CarlosFGalan @MiguelUribeT y @HOLLMANMORRIS hace un par de dias les pregunte sobre este tema... ?Cual es su propuesta concreta para este?',0,0
62,b'@pilar_rod @MiguelUribeT Proximo alcalde Mayor de Bogota',0,0
63,b'?Para usted quien debe ser el proximo alcalde de @Bogota? #DebatesCristovision @MiguelUribeT @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS',464,0
64,b'Unidos construiremos una mejor Bogota @AForeroM CD # 1 @MiguelUribeT ! https://t.co/KXkvKq199r',62,0
65,"b'Claramente el dilema no era @ClaudiaLopez, @CarlosFGalan o @MiguelUribeT; al final los tres garantizaban el negocio, la diferencia era la cantidad del robo.\nEl problema es @HOLLMANMORRIS, porque los saca del Negocio y no los deja robar NADA.\n@sergio_fajardo Konfirma por favor '",160,0
66,"b'Si @petrogustavo hubiese cometido el GRAN ERROR,de hacer los estudios de un metro elevado""@CarlosFGalan y @ClaudiaLopez""estarian defendido el subterraneo"".Despierten ELLOS no piensan en Bogota,si no en ""calculo$""politico$ incluyendo al hijo lento de @EnriquePenalosa @MiguelUribeT https://t.co/Q1FYCjCgQ9'",257,0
67,b'@ghitis @AlvaroUribeVel @MiguelUribeT Experiencia en ser nadie. Experiencia en delinquir con sus amiguitos del status quo. O experiencia en ser ignorante y llegar alla por dar culo y no por talento. Esas sandeces de un delfin talentoso me recuerda a un perro intentando ser humano.',0,0
68,"b'Fui Concejal, Presidente del Concejo, Secretario de Gobierno y, en mas de 20 ocasiones, Alcalde encargado. Tengo la experiencia para hacer que Bogota avance. No llegare a aprender con los problemas de la gente.\n\n#Avancemos https://t.co/2Y45AmbmBp'",779,0
69,"b'Si Bogota comete el gravisimo error de elegir a Claudia Lopez alcaldesa; la inmoralidad, la incoherencia, la decadencia familiar y el desorden estaran a la orden cada dia. Seria vergonzoso. Quienes creemos en Dios tenemos que orar para que esta senora no gane. \n@MiguelUribeT'",27,0
70,b'?Para usted quien debe ser el proximo alcalde de @Bogota? #DebatesCristovision @MiguelUribeT @ClaudiaLopez @CarlosFGalan @HOLLMANMORRIS',464,0
71,"b'Miguel Uribe Turbay una persona activa, imparable en su proposito #Avancemos @MiguelUribeT #migueluribeturbayalcalde https://t.co/L938DY4WNL'",2,0
72,b'@MiguelUribeT Ni un voto femenino por este infeliz https://t.co/1BVyNcQIDw',0,0
73,b'Me encanta la familia de @MiguelUribeT  https://t.co/lbREunYM6t',62,0
