username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
KatherineR___,7/9/19 16:53,0,11,Pues esa aguila fusion limon no es que sea la gran cosa.,,,,1.17E+18,https://twitter.com/KatherineR___/status/1170455052840030209
CervezaAguila,7/9/19 16:30,0,0,"Viejo Edu, !nos encanta leerte, dejanos saber como te parecio # AguilaFusionLimon.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170449247600336896
CervezaAguila,7/9/19 16:26,0,0,"Por que me late que aun no has probado la nueva # AguilaFusionLimon con el combo, mi Cami.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170448273192210433
CervezaAguila,7/9/19 16:26,0,0,"Viejo Pipe, !pendiente de nuestras redes! vamos por esa botella de # AguilaFusionLimon",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170448193416499207
CervezaAguila,7/9/19 16:24,0,1,"!Buena vaina, mi hermanazo! Cuentanos que tal te parecio nuestra # AguilaFusionLimon.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170447671674527744
CervezaAguila,7/9/19 16:21,0,0,"Dani, Buenisimo que estes conectada con nuestra actividad, !vamos por esa botella!, pendiente de nuestras redes, ya se siente el sabor de AguilaFusionLimon.",,,,1.17E+18,https://twitter.com/CervezaAguila/status/1170446960916160514
CervezaAguila,7/9/19 16:16,0,0,"Estamos muy pendiente de ti, !falta poco para que la tengas en tus manos, vamos por esa # AguilaFusionLimon!",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170445693703663617
CervezaAguila,7/9/19 16:11,0,1,"Mi bro, ya se siente el sabor # AguilaFusionLimon, !pendiente!, aun continuamos distribuyendo botellas.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170444517692051456
CervezaAguila,7/9/19 15:38,0,0,"Es cuestion de dias pa' que encuentres nuestra # AguilaFusionLimon en cada rincon del pais, viejo Andres. !Pendiente a nuestras redes sociales y el lanzamiento oficial!",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170436319748771845
CervezaAguila,7/9/19 15:32,1,16,"Si no la recibe, dale cabida a la # AguilaFusionLimon en tu corazon ya que ella no lo merece.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170434730690564096
CervezaAguila,7/9/19 15:21,0,0,"Cuentanos que fue lo que mas te gusto de nuestra # AguilaFusionLimon, viejo @ Cristian_ArizaM.",,@ Cristian_ArizaM,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170431825203867649
camilandreapp,7/9/19 15:11,1,9,Cuanto les estaria pagando cerveza aguila a los influencers por decir q la aguila fusion limon es rica,,,,1.17E+18,https://twitter.com/camilandreapp/status/1170429425369980928
CervezaAguila,7/9/19 15:10,0,0,? @ Williamalbertoq que tal te parecio nuestra # AguilaFusionLimon?,,@ Williamalbertoq,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170429170708623360
CervezaAguila,7/9/19 15:05,0,0,"!Con gusto, @ Asandrade_! ?Cuentanos que tal te parecio nuestra # AguilaFusionLimon?",,@ Asandrade_,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170427890539933702
Yugxn_09,7/9/19 15:03,0,8,"El Aguila Fusion limon representa todo lo que no quiero tomar nunca, qued decepcionada",,,,1.17E+18,https://twitter.com/Yugxn_09/status/1170427365660549120
CervezaAguila,7/9/19 15:01,0,0,"Oye @ MEJC95, ?que tal te parecio nuestra # AguilaFusionLimon?",,@ MEJC95,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170426963787505669
carlosgarc93,7/9/19 14:47,0,0,Ad portas de probar la Aguila fusion limon.,,,,1.17E+18,https://twitter.com/carlosgarc93/status/1170423438588227584
LuchoElNinja,7/9/19 14:40,0,1,La aguila fusion limon sabe a MIERDA!!!!!,,,,1.17E+18,https://twitter.com/LuchoElNinja/status/1170421523640913923
mcamilaestrada_,7/9/19 14:21,0,1,?Alguien sabe donde puedo conseguir Cerveza Aguila fusion limon en Buga?,,,,1.17E+18,https://twitter.com/mcamilaestrada_/status/1170416934401314816
IsaHorta,7/9/19 14:02,0,1,Me parece que se aguila fusion limon es de las cervezas que mandan para el bano,,,,1.17E+18,https://twitter.com/IsaHorta/status/1170412041955434496
CervezaAguila,7/9/19 13:40,0,0,"!Bro, fresco que tu # AguilaFusionLimon va en camino!",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170406605898338305
CervezaAguila,7/9/19 13:33,0,1,"Lau, pronto estara # AguilaFusionLimon en tu tienda mas cercana. !Vas a quedar sin aliento cuando pruebes nuestra fusion!",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170404844471017472
CervezaAguila,7/9/19 13:32,0,1,"Lau, sabemos que estas muy ansiosa por probar nuestra # AguilaFusionLimon, pero no te pongas a inventar que nuestra fusion esta pa' no dejar ni una gota en la botella.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170404414743621632
CervezaAguila,7/9/19 13:00,0,1,"Yise, eres nuestra chica # AguilafusionLimon. Cuentanos, ?como estuvo esta espectacular fusion?",,,# AguilafusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170396346274238465
Nicolleum_,7/9/19 12:51,1,1,"Aguila se fajo con esa Aguila fusion limon, cosita tan rica",,,,1.17E+18,https://twitter.com/Nicolleum_/status/1170394149872386048
sebassilvera19,7/9/19 11:39,0,0,Esa aguila ligth fusion limon es cule vaina normal,,,,1.17E+18,https://twitter.com/sebassilvera19/status/1170376000179507203
lfernandacant,7/9/19 11:07,0,0,Esa cerveza Aguila fusion limon provoca escuchar el dulce sonido del liquido bajando por una alcantarilla.,,,,1.17E+18,https://twitter.com/lfernandacant/status/1170367908586950657
GMDLHM,7/9/19 10:49,0,0,Aguila fusion limon: 4/10,,,,1.17E+18,https://twitter.com/GMDLHM/status/1170363438520000512
CervezaAguila,7/9/19 09:57,0,0,?Y que tal la fusion tan bacana de # AguilaFusionLimon viejo Duber?,,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170350445774233601
hpimienta95,7/9/19 09:38,30,203,Tu novio. El que pide Aguila light fusion limon con servilleta.,,,,1.17E+18,https://twitter.com/hpimienta95/status/1170345593354510336
CervezaAguila,7/9/19 09:30,0,2,"Donnie, a ella le puedes llevar una # AguilaFusionLimon bien fria y seguro vas a conquistar ese corazon frio.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170343506403037189
CervezaAguila,7/9/19 09:24,0,0,"!Ricar, no digas eso!, el mensajero debe estar por llegar. Mas bien, cuando tengas en tu poder a nuestra # AguilaFusionLimon recuerda que debes tomarla muy fria.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170341982822109184
CervezaAguila,7/9/19 09:15,0,0,"!Viejo Migueeee!, ves que nuestra # AguilaFusionLimon llego. Solo era cuestion de paciencia. ?Que tal esta fusion de sabores?",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170339911804882945
CervezaAguila,7/9/19 08:22,0,1,"Pa' el grado, pa' el cumpleanos y pa' el almuerzo, # AguilaFusionLimon, siempre queda bien.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170326412378673152
CervezaAguila,7/9/19 08:13,0,0,"Pero no hay afan viejo Lea, # AguilaFusionLimon ya va en camino y aparte es perfecta para disfrutarla a cualquier hora del dia.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170324318821277696
CervezaAguila,7/9/19 06:43,0,0,"!Esa es la actitud, Maria!, nuestra cerveza es perfecta para cualquier ocasion, y que mejor que para celebrar el amor y la amistad, una # AguilaFusionLimon.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170301667268415488
CervezaAguila,7/9/19 06:39,0,0,"!Bro, esa es la actitud!, yo vere cuando llegue nuestra # AguilaFusionLimon.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170300649491304449
CervezaAguila,7/9/19 06:22,0,1,"Luchito, ?que tal te parecio nuestra # AguilaFusionLimon?",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170296219031212034
CervezaAguila,7/9/19 06:19,0,0,"!Tranqui, ?estas preparada para recibir tu # AguilaFusionLimon? ?Lista la fiesta?",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170295630771736577
CervezaAguila,7/9/19 06:17,0,0,"Ricar, ?seguro ingresaste correctamente la direccion?, si es asi, pendiente del celu. !Tranqui!, que no te vas a quedar sin tu # AguilaFusionLimon.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170295133285302272
CervezaAguila,7/9/19 06:08,0,0,"Hola, nos alegra un monton que tu # AguilaFusionLimon ya este en tus manos. Recuerda que debes disfrutarla muy fria.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170292870462562304
suciavidaa,7/9/19 05:13,0,0,No se si es mas fea la cerveza aguila light o la fusion limon.,,,,1.17E+18,https://twitter.com/suciavidaa/status/1170278956634914816
_luchi25,7/9/19 00:37,0,3,Aguila fusion limon no es nada del otro mundo,,,,1.17E+18,https://twitter.com/_luchi25/status/1170209505956810752
AristiEdwin23,6/9/19 21:47,3,15,La verdad me esperaba mucho mas de la nueva # aguilafusionlimon,,,# aguilafusionlimon,1.17E+18,https://twitter.com/AristiEdwin23/status/1170166605738905601
winderbustos,6/9/19 21:17,0,0,@ CervezaAguila me gane una aguila fusion limon que llegaba el 2 de septiembre y no ha llegado,,@ CervezaAguila,,1.17E+18,https://twitter.com/winderbustos/status/1170159081245564929
MariaCg02,6/9/19 19:34,1,2,Con ganas de probar esa tal Aguila fusion limon,,,,1.17E+18,https://twitter.com/MariaCg02/status/1170133249898754048
valentinagutrz,6/9/19 19:17,0,2,Pa mi que el portero se tomo mi aguila fusion limon,,,,1.17E+18,https://twitter.com/valentinagutrz/status/1170128990251749377
CervezaAguila,6/9/19 17:10,0,0,?Y por que no mejor ganarse una Aguila Fusion Limon? Hoy a las 5 de la tarde estaremos regalando muchas cervezas. ?Te vas a quedar sin la tuya?,,,,1.17E+18,https://twitter.com/CervezaAguila/status/1170097009136680960
CervezaAguila,6/9/19 17:07,0,1,"Se llego el dia, hoy a las 5 de la tarde estaremos regalando pruebas de la nueva Aguila Fusion Limon en nuestra pagina. ?Te vas a quedar sin al tuya?",,,,1.17E+18,https://twitter.com/CervezaAguila/status/1170096151971926016
CervezaAguila,6/9/19 16:29,0,3,"!Buena vaina esa, Donnie! Cuentanos que tal te parecio nuestra # AguilaFusionLimon, que imaginamos la tomaste bien fria...",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170086673264324608
Heyyoucr,6/9/19 15:53,0,1,"Ya sabes Lalu jajajaj, no te preocupes que pal grado te farreas tu # AguilaFusionLimon",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/Heyyoucr/status/1170077601769172994
SandyAngel17,6/9/19 14:58,0,0,"Sip. y te la dejan en tu casita. pon en google aguila fusion limon y sigue los pasos del link que dice Celebremos con Cerveza Aguila""""",,,,1.17E+18,https://twitter.com/SandyAngel17/status/1170063720615239680
TitoStevenson,6/9/19 14:57,0,0,regularsita la aguila fusion limon,,,,1.17E+18,https://twitter.com/TitoStevenson/status/1170063538708238336
jockshara,6/9/19 13:47,0,0,?Que tal es esa Aguila fusion limon?,,,,1.17E+18,https://twitter.com/jockshara/status/1170045955053256705
CervezaAguila,6/9/19 13:30,0,0,"No te preocupes Maria, ahora mas que nunca debes estar pendiente de nuestras redes. Tranquila que # AguilaFusionLimon espera por ti.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170041699026067456
CervezaAguila,6/9/19 13:06,0,0,"?Con quien piensas compartir el nuevo sabor de # AguilaFusionLimon, Maria?",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170035522661703683
CervezaAguila,6/9/19 13:00,0,0,"!Bro, pronto te llegara!, ?lista la fiesta con la que vas a recibir tu # AguilaFusionLimon?",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170034141506822145
CervezaAguila,6/9/19 12:51,0,1,"!Pati, asi es!, nuestro camion ya salio a distribuirlas. !Calma!, en menos de lo que te imaginas tu # AguilaFusionLimon esta en la puerta de tu casa.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170031687012683778
_hellenkarina27,6/9/19 12:17,0,7,Llego @ CervezaAguila # AguilaFusionLimon pic.twitter.com/0tu9ru8Qlg,,@ CervezaAguila,# AguilaFusionLimon,1.17E+18,https://twitter.com/_hellenkarina27/status/1170023111561031682
CervezaAguila,6/9/19 12:06,0,1,"Hola, !claro que si!, un poco de paciencia, tu espera sera recompensada con una espectacular fusion de sabores. !Tu # AguilaFusionLimon esta muy cerca, pendiente!",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170020404657868800
killerf___,6/9/19 11:31,3,33,"No me puedo tomar en serio a un man que al pedir par de cervezas pida AGUILA FUSION LIMON, NOMBE NO.",,,,1.17E+18,https://twitter.com/killerf___/status/1170011631608377344
CervezaAguila,6/9/19 11:15,0,0,"Bro, no vas a tener que echarle mas limon. # AguilaFusionLimon es perfecta para tu paladar.",,,# AguilaFusionLimon,1.17E+18,https://twitter.com/CervezaAguila/status/1170007714010947591
