Texto,Sentimiento
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
"A @CarlosFGalan le sacan un contrato de 10mil millones otorgado por Penalosa a su ""centro de pensamiento"" y parece no afectar su imagen.
Como podra dormir tranquilo?
Enganando, trucando, maquillando....",0.004646824000068252
Pura CARRETA BARATA de @CarlosFGalan con su Cuentico de INDEPENDIENTE. Toda su Vida a la Sombra del COSCORRON @German_Vargas y de VOLVOlosa el Peor Alcalde. Lo Mejor el MetroSub con @HOLLMANMORRIS Alcalde2020 https://t.co/pK5HflKc3I,0.09223316386469327
"@DEVIACAMACHO @jpdevia @me_ramos @deviajc @ChrisDaes @luchovoltios @EstewilQ @Susanadleon @Jkrodelo @CarlosFGalan @HENRYFOREROJ @FabioPovedaRuiz @hansel8aleman Hermoso, Dios lo bendiga",0.5961572666150567
"Seguimos creciendo, esta vez en la ultima Datexco. Asi lo registro La W esta manana. Cerraremos como se debe, trabajando, con humildad, en la calle. Todavia falta mucho, sin confiarnos. Feliz noche! 
#BogotaParaLaGente https://t.co/Lp5uE8VkYT",0.25641521257783956
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
"No nos digamos mentiras,@CarlosFGalan no es ningun candidato independiente ni representa los intereses de ningun pobre,pertenece a la elite de politicos ladrones,otra cosa es que administra bien el apellido de su padre.",0.0007240988859714864
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
"@marioenelblog @DianiSantacruz Y cual es la diferencia entre @CarlosFGalan y @ClaudiaLopez. Los dos representan lo mismo, la co tinuidad de Penaloza, entonces da igual cualquiera de los dos.",0.8859214362903584
Ud quiere que @ClaudiaLopez o @CarlosFGalan sean alcaldes de Bogota? #VotoMiguelVotoUtil #votointeligente https://t.co/hVG2DgZwqI,0.0398031639047519
"En vivo por @Todelar en @lavozdeporras con @angelagarzonc, @juanmanuelgalan y nuestro equipo de #BogotaParaLaGente @CarlosFGalan #EquipoGalan #GalanAlcalde https://t.co/yFXh5qpe5P",0.2830708460198695
"Dice .@CarlosFGalan que el es el unico candidato que no tienen LOGOS en el Tarjeton-Alcaldia. Con lo que la ""Fundacion Galan"" le ha exprimido a a los Gobiernos NADIE necesitaria apoyo.

Reto: Cuentele a los Colombianos cuanto han recibido desde su creacion. La cifra es VULGAR",0.0028199561988255253
"@CarlosFGalan Palante, estas haciendo una campana fresca como nunca la habia visto en Bogota, eres el que la ciudad quiere.",0.8494063828735772
"@Pfrobledo @CarlosFGalan Si claro, y electo llega q sentarse con ud, vargas lleras, penalosa, Gaviria",0.0018072840298155209
"Las ultimas encuesta q muestran a @CarlosFGalan liderandolas, indican q @Bogota quiere un Alcalde Independiente, sin partidos politicos, sin ex presidentes, sin ex alcaldes, y sin corruptos. Bogota se canso de Petro, del senador Robledo, de Uribe Velez, de Samuel Moreno, etc... https://t.co/BBdyATGT4i",0.00284901428526891
"Hay Marea Roja de voluntarios con @CarlosFGalan . Con un grupo de entusiastas madrugamos esta manana. Se siente el carino y la buena energia. Faltan 20 dias de dialogo, preguntas y ojala !convencer con argumentos y propuestas! De eso se trata la democracia #BogotaParaLaGente https://t.co/hF5i0zKsaP",0.41134280696105097
Cuando va @CarlosFGalan a hablar d esto? https://t.co/8qGWtO9R7j,0.27091883782938775
@petrogustavo Pero no te de miedo etiquetarlo papi @CarlosFGalan. Galanchis responde a Fake News Petro ,0.3398904346268098
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
"@CarlosFGalan Ojo, Galan es otro bobito como Samuel Moreno y ya sabemos en que termino todo, este solo es el hijo muergano de un gran senor como Galan.",0.4711054344637608
"Les pido humildad. Esto no se gana hasta el 27. Claro que estamos felices, las ultimas encuestas nos ponen en la punta, pero quedan tres semanas de mucho trabajo, de contener ataques y de seguir haciendo una campana de ideas. #BogotaParaLaGente https://t.co/vKvBuEANL9",0.03984048910830508
"La diferencia entre @CarlosFGalan y el Senador @JERobledo es que mientras Galan se fue de Cambio Radical, el senador Jorge Enrique Robledo se quedo en el @PoloDemocratico, partido este que se robo a Bogota en epocas de los inefables Samuel Moreno y @petrogustavo https://t.co/GlI0KRNDCU",0.06580730989794611
"Llega el momento de la verdad para los candidatos a la Alcaldia de Bogota. No se pierda este miercoles 16 de octubre #BogotaDebate con @HOLLMANMORRIS, @ClaudiaLopez, @CarlosFGalan y @MiguelUribeT  por Canal Capital y https://t.co/RDk01HfRs8 - https://t.co/UKesKcCEZH",0.2259620312529078
"Aqui les dejo a @CarlosFGalan diciendo que le encantaria que su Secretario de Gobierno fuese Luna, el jefe politico de la Joyita de Yefer Vega, o German Baron, cerebro detras de la criminalizacion de la protesta en el Codigo de Policia y jefe de Cambio Radical en el Congreso. https://t.co/XBmp4r97kN",0.10907890173747202
"@CarlosFGalan Que tristeza ver esta campana, como@van a recuperar a bogota con un metro elevado, que colapasara toda la Caracas, donde tendran que hacer transmilenio por la 7 seguro y donde nos seguiran robando! Creo que no aprendio mucho del padre!",0.09725386692673896
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
"Estamos en la 50 con Esperanza, de occidente a oriente. Esta sera una de nuestras prioridades en estos dias que faltan, entregar nuestra propuesta, mucha calle, mucho dialogo! #BogotaParaLaGente https://t.co/pnqtbwMKzI",0.5418237335825474
930 AM Todelar! https://t.co/MreWn6mRnf,0.3402918149068243
"En 4 anos no alcanzamos a recuperar Bogota, nos dejan otros 4 anos, sii porfis:
@CarlosFGalan 
@ClaudiaLopez 
@AntanasMockus 
@luciabastidasu 
@mluciaramirez https://t.co/zRIQTxaVcz",0.06618724387438694
"@CarlosFGalan Ohala no ganes y no llenes de diesel el lugar. 

Y tampoco hagas el hidroituango Bogotano.

Ohala",0.22524015044296625
"Hace algunos meses tuve la oportunidad de conocer a @CarlosFGalan y comparto las fotos debido a que vi un muchacho cercano a la gente, y muy amable ademas en unos meses podre decir que yo ya conozco al alcalde de Bogota. #BogotaParaLaGente #CarlosFGalanMeCaeBien https://t.co/reASfkthyl",0.8897686637997438
"Es un hecho que la Corporacion Escuela Galan paso de recibir poco dinero del distrito a casi 11 mil millones de pesos. Y eso paso justo a dos meses de las elecciones donde uno de los candidatos es @CarlosFGalan, quien apoyo a @EnriquePenalosa. https://t.co/tC4iMOW8tT",0.04461962341697482
"@Pfrobledo @CarlosFGalan JAJJAJA ... ese cuento no se lo come NADIE ... Todos sabemos lo ""comprometido"" que esta @CarlosFGalan ! Aca los unicos independientes son @SantaFe y @NoticiasUno",0.3689141325652649
"Les dejan en licitacion un Metro Elevado corrupto, las dos empresas seleccionadas, corruptas; la empresa Konfirma que las selecciona, corrupta y los candidatos @CarlosFGalan y @ClaudiaLopez  dicen que no pasa nada, que lo construiran.
Conclusion: candidatos super corruptos.",0.002616616178117471
@juanc_Armenia @MarinaArbelaez1 @CarlosFGalan @MiguelUribeT @ClaudiaLopez @CarlosFGalan Carlos Fernando mi voto es por Usted pero NO se le vaya a ocurrir aliarse con Miguel Uribe eso acabaria con su independencia y caeria en la jauria de esa secta que llaman Centro Democratico.  @JRUIZDIAZ @VelascoCamilo @davidfbecerra @Roble574 @RodoOgliastri,0.46408490624937127
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
Vamosssssssssss @CarlosFGalan campanota. https://t.co/QbrBkkpJKk,0.40882512601060533
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
"Bogota D.C se canso del Populismo, ya ellos reaccionaron y no comen cuento de @petrogustavo @ClaudiaLopez @AntonioSanguino ..ahora estas ratas se trasladaron a otras ciudades para seguir robando al PUEBLO. Santa Marta es una, Barranquilla, etc. @CarlosFGalan ALCALDE Bogota D.C https://t.co/cTJ8sUGYLX",0.07325457396270844
@CarlosFGalan Jajajaja yo sin querer pase por ahi tambien.,0.13505712728663666
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
"7) Finalizo este hilo preguntandome si esto al menos cuestiona a los candidatos que defienden el metro elevado? @ClaudiaLopez @CarlosFGalan @MiguelUribeT.

Esto se suma a las denuncias que han venido haciendo @HOLLMANMORRIS y @petrogustavo sobre corrupcion en ese proyecto.",0.00946786463379997
"@Portafolioco @ClaudiaLopez @CarlosFGalan @yannbasset Porque el auto denominado ""independiente"" no lo es y recibe apoyos economicos quien sabe de donde y como. Y la segunda, estaba muy convencida de su victoria, olvido la maquinaria que enfrentaba y subio al tibio para volverlo presidente desde Bogota. Pobre mi capital!",0.05580041232404932
"@patryborja @Datexco @CarlosFGalan @majagual @CarlosFGalan y @ClaudiaLopez ya no son candidatos a la alcaldia de Bogota sino a la de Barranquilla segun @Datexco, todos a votar por @MiguelUribeT para tener una Bigota pujante",0.11809420662551448
La independencia de @CarlosFGalan es tan dudosa como la inocencia de @AlvaroUribeVel,0.16771674511039575
@jhontxu @CarlosFGalan Y el dolar ha subido,0.32823650481604266
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
Vi esta bellisima imagen ecumenica de @CarlosFGalan. La vi y subrrayo al senor de azul porque me llamo la atencion. https://t.co/EpKv9mYxpH,0.2994190886248532
@CarlosFGalan cundinamarca sin corruptos. https://t.co/0LLc70mrAZ,0.3006503377819084
"Por que @MAVILLAMZAR no le pregunto en @NoticiasCaracol a @CarlosFGalan por el corrupto contrato de 10 mil millones que le entrego @EnriquePenalosa a la tia de Galan, Maruja Pachon, en plena campana? Eso tambien es corrupcion! Porque no pueden hacer su trabajo decentemente? https://t.co/ZnvwORAJJk",0.0006301582134265042
@CarlosFGalan Vamos que vamos queremos a Galan de alcalde,0.3190507378260875
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
"Te explico las diferencias entre @ClaudiaLopez y @CarlosFGalan con gaseosa: 

Claudia Lopez    //   Carlos Galan

El voto util es por @HOLLMANMORRIS, bebes. https://t.co/uDlQQ26r3w",0.5697783451878516
"!ALERTA!
@HOLLMANMORRIS  es el unico candidato que no le pediria la renuncia a alguno de sus secretarios por denuncias de acoso sexual.
Esto piensan las candidaturas a la Alcaldia de Bogota sobre temas de genero #BusetaElectoral
@ClaudiaLopez @CarlosFGalan @MiguelUribeT https://t.co/VfA50l40pk",0.0030223461972707652
"Al paso que van las tendencias de las encuestas en Bogota #ClaudiaLopez ocupara el cuarto puesto despues de Galan, Uribe y Hollman ... la enterraron su vulgaridad, incoherencia y arrogancia !
@CarlosFGalan @MiguelUribeT @HOLLMANMORRIS",0.007105370436799823
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
"Seguimos creciendo, esta vez en la ultima Datexco. Asi lo registro La W esta manana. Cerraremos como se debe, trabajando, con humildad, en la calle. Todavia falta mucho, sin confiarnos. Feliz noche! 
#BogotaParaLaGente https://t.co/Lp5uE8VkYT",0.25641521257783956
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
"Taxi combo completo: 
- Voto del conductor.
- Voto de los pasajeros. 
- Solicitud de calcomania. 
- Entrega de afiche. 
Y la frase que nos impulsa: ""vamos a ganar"".
#BogotaParaLaGente https://t.co/2xh32EeKEJ",0.31778408430203914
@CarlosFGalan Deberia ir a la boyaca donde el inepto @Bocarejo_JP coloco un semaforo para darle gusto a don Luis carlos sarmiento angulo o a la av de las americas que no necesita semaforos porque en un embudo en los puentes de la boyaca y la 68,0.09676422076662335
"Llega el momento de la verdad para los candidatos a la Alcaldia de Bogota. No se pierda este miercoles 16 de octubre #BogotaDebate con @HOLLMANMORRIS, @ClaudiaLopez, @CarlosFGalan y @MiguelUribeT  por Canal Capital y https://t.co/RDk01HfRs8 - https://t.co/UKesKcCEZH",0.2259620312529078
Pura CARRETA BARATA de @CarlosFGalan con su Cuentico de INDEPENDIENTE. Toda su Vida a la Sombra del COSCORRON @German_Vargas y de VOLVOlosa el Peor Alcalde. Lo Mejor el MetroSub con @HOLLMANMORRIS Alcalde2020 https://t.co/pK5HflKc3I,0.09223316386469327
