id,Created at,texto,hashtags,source,reply count,retweet count,favorite count,lang,user id,user id string,user screen name,user location,user verified,user followers count,user friends count,created at
159,2019-10-12 16:13:18,"Como el futbol es un idioma universal, hoy en #ElDiaDeLaRaza queremos celebrar con una de nuestras culturas y vamos a narrar el partido de la @FCFSeleccionCol en Arawak. 

#PasionQueUneRazas https://t.co/2s1RZOjut1",['ElDiaDeLaRaza'],Twitter for iPhone,,3,0,es,288364007,288364007,Jenn,instagram.com/Jennboshell,False,10306,3718,2011-04-26 18:33:22
160,2019-10-12 16:07:18,@CervezaAguila @FCFSeleccionCol Estoy listo. https://t.co/Tu1RnoHi0m,[],Twitter for Android,,0,0,es,2345240596,2345240596,Duber CR,Barranquilla,False,45,356,2014-02-15 17:03:56
161,2019-10-12 16:02:10,"Ya va a arrancar el partido de la @FCFSeleccionCol : corran y traigan las frias, que hoy en el #DiaDeLaRaza les tenemos preparado algo especial.

#PasionQueUneRazas",['DiaDeLaRaza'],Twitter for iPhone,,2,0,es,288364007,288364007,Jenn,instagram.com/Jennboshell,False,10306,3718,2011-04-26 18:33:22
162,2019-10-12 15:59:42,"@CervezaAguila @FCFSeleccionCol Ok, como digan.  https://t.co/nEXHbjAUoU",[],Twitter for Android,,0,0,es,69635446,69635446,Mauricio Rubio F.,,False,2346,1072,2009-08-28 16:53:34
163,2019-10-12 15:51:09,"Ya va a arrancar el partido de la @FCFSeleccionCol : corran y traigan las frias, que hoy en el #DiaDeLaRaza les tenemos preparado algo especial.

#PasionQueUneRazas",['DiaDeLaRaza'],Twitter for Android,,2,0,es,1181902065825701893,1181902065825701893,nikolai uriel menaca,"Bogota, D.C., Colombia",False,2,52,2019-10-09 12:00:04
164,2019-10-12 15:30:53,"En el momento en el que nos ponemos la camiseta y vestimos nuestros colores, sabemos que hay #PasionQueUneRazas. 

Hoy, en el #DiaDeLaRaza estos son los once que se pondran la camiseta por todos nosotros @FCFSeleccionCol https://t.co/TfQGvxqhpo",['PasionQueUneRazas'],Twitter Web App,,1,0,es,1083197468,1083197468,Cesar Martinez,"Bogota, D.C., Colombia",False,21050,21351,2013-01-12 14:50:32
165,2019-10-12 15:18:38,Cuando pides la @CervezaAguila de 10 litros para llevar ajajajajaj https://t.co/lLxnllNjKH,[],Twitter for Android,,0,2,es,495372749,495372749,beto DeLeon,,False,35,910,2012-02-17 22:06:38
166,2019-10-12 14:46:14,"""Disfruta nuevas experiencias y mejores momentos con la nueva #AguilaFusionLimon  !Vivela!
 
Encuentra tu tienda mas cercana en https://t.co/vSuJA0Y6Mo https://t.co/LOp5CayC8M",['AguilaFusionLimon'],Twitter for Android,,12,0,es,150687187,150687187,CUCUTAOK,"Cucuta, Norte de Santander",False,128,389,2010-06-01 15:21:51
167,2019-10-12 12:59:23,"""Disfruta nuevas experiencias y mejores momentos con la nueva #AguilaFusionLimon  !Vivela!
 
Encuentra tu tienda mas cercana en https://t.co/vSuJA0Y6Mo https://t.co/LOp5CayC8M",['AguilaFusionLimon'],Twitter for Android,,12,0,es,257072125,257072125,ZoeEdzka,NY / CCS / BGT,False,284,2058,2011-02-24 17:28:58
168,2019-10-12 11:53:33,"@CafamOficial @MillosFCoficial @AmericadeCali Miercoles otro sorteo que no se me da pero bueno solo van 252, aunque bueno seguro que con @CervezaAguila mucho mejor sera !!! Recuerda que ni boleta para ver a Millos ni mucho menos la botella de Aguila Fusion desde hace 2 meses, deben ser que llegan juntas !!! *mp3 de risas* https://t.co/6SvSaJndOe",[],Twitter for Android,,0,0,es,3087196772,3087196772,#GraciasProfeRusso,,False,636,1802,2015-03-15 22:56:03
169,2019-10-12 06:17:55,"Binomio de oro en #FEP2020

Mi cerebro:
No lo digas
No lo digas
No lo digas

Yo: Un osito dormilon le regale y una fria al despedirse ella me dio. ",['FEP2020'],Twitter for Android,,50,0,es,1023387410,1023387410,luli capiz,Bogota,False,59,80,2012-12-20 03:02:45
170,2019-10-12 05:15:20,"@ValStayStrong Toca ir practicando las canciones, ?en donde nos encontramos?",[],Twitter for iPhone,,1,0,es,158882016,158882016,Vale[?][?]Montes,Medellin/Colombia,False,1775,1556,2010-06-23 22:32:46
171,2019-10-12 05:15:17,@CervezaAguila La practica hace al maestro como dicen por ahi!!! Armemos pues el parche,[],Twitter for iPhone,,0,0,es,158882016,158882016,Vale[?][?]Montes,Medellin/Colombia,False,1775,1556,2010-06-23 22:32:46
172,2019-10-12 03:06:31,"Binomio de oro en #FEP2020

Mi cerebro:
No lo digas
No lo digas
No lo digas

Yo: Un osito dormilon le regale y una fria al despedirse ella me dio. ",['FEP2020'],Twitter for iPhone,,50,0,es,3914238347,3914238347,Deyner Pineda,"Barranquilla, Atlantico",False,235,224,2015-10-10 02:09:16
173,2019-10-12 01:55:44,"@CervezaAguila Neuquen Capital, Patagonia Argentina",[],Twitter for Android,,0,0,es,886672447411499008,886672447411499008,Walter ,"Neuquen, Argentina",False,144,380,2017-07-16 19:42:39
174,2019-10-12 01:47:18,Igual seguire tomando @CervezaAguila  [?] sorry not sorry,[],Twitter for iPhone,,0,0,es,1174461590088900608,1174461590088900608,Ladelamemoria,"Bogota, D.C., Colombia",False,22,220,2019-09-18 23:14:10
175,2019-10-12 01:20:14,@CervezaAguila PUES A MI SI ME GUSTO Y BASTANTE. Los recibo de a uno ,[],Twitter for Android,,0,0,es,202800998,202800998,,,False,557,443,2010-10-14 21:16:22
176,2019-10-12 01:11:40,@CervezaAguila Ya les respondi,[],Twitter for iPhone,,0,0,es,1042112508654485504,1042112508654485504,Henry T.,"Cali, Colombia",False,1017,585,2018-09-18 18:05:58
177,2019-10-12 00:08:25,"Sabemos que te gusta el baile y que la fiesta empieza cuando se destapa una #AguilaFusionLimon !Vivela! 

Entra a https://t.co/vSuJA1fHDW y encuentra donde conseguirla. https://t.co/9h78Pc5lld",['AguilaFusionLimon'],Twitter for Android,,13,0,es,922652463924211713,922652463924211713,Jose,,False,3089,4478,2017-10-24 02:34:24
178,2019-10-11 23:57:53,"Hasta los de @RiverPlate sienten el mismo orgullo que nosotros. 

!Colombia presente papa! [?][?] https://t.co/iHib3X5zvC",[],Twitter for Android,,3,0,es,299935394,299935394,Fabian Rojas,Colombia - Bogota,False,306,266,2011-05-16 22:47:27
179,2019-10-11 23:24:58,@migueaangulo @CervezaAguila De limon,[],Twitter for Android,,0,0,es,731430204,731430204,Natali Guerrero Bolano,,False,292,222,2012-08-01 20:51:20
180,2019-10-11 23:24:54,"Hasta los de @RiverPlate sienten el mismo orgullo que nosotros. 

!Colombia presente papa! [?][?] https://t.co/iHib3X5zvC",[],Twitter for iPhone,,3,0,es,2734778465,2734778465,Jean C Quiroga.,"Barranquilla, Colombia",False,739,1282,2014-08-06 04:49:31
181,2019-10-11 23:19:49,Que ganas de una @CervezaAguila negra bien fria,[],Twitter for iPhone,,0,0,es,1094205423433981954,1094205423433981954,migue q,"Barranquilla, Colombia",False,115,192,2019-02-09 12:04:37
182,2019-10-11 22:48:16,"Y 209 dias despues vuelve 'Kingtero' [?][?]
?Cual es tu mensaje para nuestro crack? https://t.co/wTW5aijqjj",[],Twitter for Android,,1,0,es,291574887,291574887,@leducamel,Bogota- Colombia,False,122,1089,2011-05-02 07:46:52
183,2019-10-11 22:42:00,"@edwarviloria28 Edwar, a pesar de las apariencias, lo importante es lo que llevamos por dentro: , !ves, me puse nostalgico! ",[],Twitter for iPhone,,1,0,es,565201287,565201287,Edwar Viloria.,"Medellin, Colombia",False,123,87,2012-04-28 03:21:13
